Year,0-5,6-14,15-19,20-44,45-64,65+
1871,15100,19300,9100,35300,16600,4600
1880,16200,19200,9300,34800,15800,4700
1890,15200,19800,9700,34400,15700,5100
1900,15300,19400,9400,35700,15300,4900
1910,14500,19700,9700,35900,15300,5000
1925,11400,14300,10500,38800,19200,5800
1933,8900,15300,6300,41700,20800,7100
1939,9700,13400,8700,39000,21300,7900
1950,7850,15304,7250,34506,25357,9733
1951,8251,14511,7591,33974,25693,9980
1952,8550,13878,7951,33430,25998,10192
1953,8707,13288,8423,32911,26306,10366
1954,8818,12664,8685,32685,26583,10566
1955,8834,12126,8879,32629,26802,10730
1956,8859,11765,8896,32640,26922,10917
1957,9002,11854,8620,32149,27252,11121
1958,9063,11817,8268,32272,27288,11292
1959,9216,11806,7748,32543,27235,11453
1960,9352,12171,6858,33227,26812,11580
1961,9524,12382,6193,33916,26122,11862
1962,9695,12523,6027,34462,25283,12011
1963,9885,12645,5880,34945,24443,12202
1964,10071,12703,5852,35032,23924,12418
1965,10103,12805,6246,34534,23688,12625
1966,10117,12978,6509,34051,23460,12884
1967,10031,13247,6654,33635,23217,13217
1968,9851,13492,6760,33666,22858,13373
1969,9519,13734,6808,34004,22411,13524
1970,9101,14049,6839,33974,22229,13808
1971,8699,14267,6920,34185,21932,13997
1972,8190,14460,7022,34411,21699,14219
1973,7626,14583,7165,34633,21559,14435
1974,7145,14634,7321,34689,21491,14719
1975,6699,14553,7528,34717,21534,14969
1976,6393,14263,7767,34912,21497,15168
1977,6135,13906,7982,35206,21353,15418
1978,6039,13362,8232,35564,21218,15585
1979,6066,12696,8426,35777,21347,15688
1980,6166,12041,8544,35966,21767,15516
1981,6275,11384,8575,36137,22462,15168
1982,6355,10781,8514,36278,23262,14810
1983,6383,10232,8341,36417,24147,14481
1984,6388,9763,8071,36476,24828,14473
1985,6401,9463,7710,36533,25228,14665
1986,6409,9277,7317,36696,25483,14818
1987,6408,9189,6843,36890,25717,14953
1988,6484,9288,6300,37196,25781,14950
1989,6580,9396,5834,37514,25769,14908
1990,6701,9521,5478,37960,25403,14936
1991,6698,9621,5225,38307,25160,14989
1992,6617,9736,5139,38460,25011,15037
1993,6488,9873,5164,38337,24942,15196
1994,6279,10026,5221,38069,25024,15381
1995,6093,10087,5366,37773,25119,15562
1996,5920,10160,5471,37498,25275,15677
1997,5858,10104,5561,37162,25513,15802
1998,5799,10023,5612,36864,25773,15929
1999,5757,9939,5639,36575,25840,16250
2000,5735,9798,5607,36348,25865,16647
2001,5695,9611,5629,36122,25881,17062
2002,5602,9441,5662,35869,25933,17494
2003,5476,9260,5746,35551,25962,18005
2004,5376,9078,5803,35126,25990,18627
2005,5272,8860,5866,34681,26071,19251
2006,5157,8742,5786,34219,26295,19801
2007,5099,8623,5647,33754,26785,20091
2008,5066,8518,5463,33235,27318,20401
2009,5033,8441,5277,32704,27882,20662
2010,5015,8369,5065,32273,28675,20604
2011,5059,8352,5014,31500,29404,20670
2012,5074,8193,5015,31109,29851,20758
2013,5087,8090,5003,30777,30178,20866
2014,5141,8021,5009,30506,30278,21046
2015,5270,7972,5099,30526,30081,21053
2016,5412,7977,5057,30346,29990,21218
2017,5531,7963,4929,30368,29819,21391
2018,5621,7980,4822,30461,29575,21541
2019,5691,8006,4737,30513,29301,21752
2020,5718,8085,4638,30534,29052,21973
2021,5756,8188,4598,30559,28750,22149
2022,5621,8358,4650,30590,28536,22246
2023,5506,8438,4728,30708,28202,22417
2024,5382,8541,4752,30797,27900,22773
